Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal
32874,194952,226148.902298851,NA,102142.75,NA,NA,NA,NA,82083.125,NA,79641.8928571429,85892,NA,NA,NA,215337.926005877,NA,346153,NA,140000,83889,93291,233333,178888,NA,231273.890668502,182220,NA,136832.042364909,123000,NA,128806,180484,287499,105000,227522.359311489,NA,273071.291178516,271840,250000,NA,NA,NA,174022,NA,NA,NA,86999.3,NA,250410,NA,NA,,141519,203389.543331454,NA,NA,NA,NA,227365.834347532,NA
32905,196273,219306,NA,83333,NA,NA,NA,NA,87186.78125,NA,83571.0714285714,80294,NA,NA,NA,208399.1179059,NA,338333,NA,116665.833333333,77499,NA,187856,186363,NA,233655.576728464,182630,NA,136021.271454279,126900,NA,124545,180714,300877,102500,236377.257622728,NA,259668.432092826,273100,261607,NA,NA,NA,180294,NA,NA,NA,84374.5625,NA,235760,NA,NA,,144965,211024.114600086,NA,NA,NA,NA,234739.457236049,NA
32933,194856,225162,NA,100000,NA,NA,NA,NA,83888.5,NA,88888,87758,NA,NA,NA,208134.86274876,NA,358571,NA,111428,85909,NA,230555,180000,NA,242312.497453436,179470,NA,135835.177355238,127500,NA,127017,183701,290151,117692,216010.036341517,NA,253300.991912847,275500,260577,NA,NA,NA,178823,NA,NA,NA,84210.1052631579,NA,240320,NA,NA,,141132,209286.092622148,NA,NA,NA,NA,235336.501496076,NA
32964,196111,229333,NA,107999.6,NA,NA,NA,NA,85428.0285714286,NA,83499.65,80323,NA,NA,NA,219003.989631976,NA,359574,NA,133332.666666667,84285,NA,238095,158571,NA,239380.494779028,200000,NA,134629.071460831,135500,NA,131485,181567,288725,112692,189245.536376028,NA,217363.225249798,274660,255263,NA,NA,NA,184117,NA,NA,NA,88927.6785714286,NA,230620,NA,NA,,145707,210301.589421004,NA,NA,NA,NA,233178.496106875,NA
32994,195281,232291,NA,100000,NA,NA,NA,NA,88749.125,NA,79061.59375,86562,NA,NA,NA,209065.024168206,NA,374999,NA,138749.0625,100000,NA,259375,187692,NA,256401.38461681,194610,NA,140823.471659893,138000,NA,130538,180794,282626,112778,199325.054453284,NA,227608.897910326,266670,262500,NA,NA,NA,185844,NA,NA,NA,85999.4,NA,235320,NA,NA,,146060,210147.747929024,NA,NA,NA,NA,235881.361603849,NA
33025,194410,231250,NA,123043.326086957,NA,NA,NA,NA,87999.2,NA,94545,87499,NA,NA,NA,210605.895742071,NA,394185,NA,145999.7,92000,NA,190833,177332,NA,244364.418361755,187600,NA,139951.653394949,142000,NA,130769,186733,305738,112666,223021.325918947,NA,269120.623441463,276960,238461,NA,NA,NA,185333,NA,NA,NA,88332.5,NA,242310,NA,NA,,147523,209926.85625959,NA,NA,NA,NA,240385.705926321,NA
33055,193088,232916,NA,113570.75,NA,NA,NA,NA,91346.0192307692,NA,107691.923076923,88780,NA,NA,NA,225250.714143161,NA,357291,NA,163999.8,116249,NA,196363,184166,NA,236108.837679117,183890,NA,143126.614643861,145000,NA,131481,185861,296195,106999,213109.5475928,NA,234261.373152864,273600,234722,NA,NA,NA,185333,NA,NA,NA,94411.3235294118,NA,236920,NA,NA,,144931,208581.803735692,NA,NA,NA,NA,241503.003619237,NA
33086,192180,228467,NA,113332.666666667,NA,NA,NA,NA,95178.0535714286,NA,94444,86477,NA,NA,NA,213478.489676224,NA,365217,NA,143333.166666667,97222,NA,208823,172499,NA,234907.662483837,205450,NA,143827.170218211,142000,NA,129601,185639,284523,118076,233726.957519342,NA,210623.353685125,273340,269078,NA,NA,NA,180270,NA,NA,NA,92083.125,NA,231200,NA,NA,,145204,199723.973009968,NA,NA,NA,NA,237727.081860785,NA
33117,189979,225000,NA,117499.125,NA,NA,NA,NA,92499.75,NA,93999.6,92812,NA,NA,NA,211552.002446743,NA,337500,NA,147499.625,96999,NA,192000,177499,NA,226249.954746232,189170,NA,144070.08338916,139000,NA,126497,186272,278301,111667,206346.228472899,NA,214462.494692975,258060,256250,NA,NA,NA,182308,NA,NA,NA,83749.625,NA,239930,NA,NA,,141080,193597.346361448,NA,NA,NA,NA,225568.577355477,NA
33147,187630,221093,NA,127142.5,NA,NA,NA,NA,96891.2027027027,NA,91249.875,87386,NA,NA,NA,207801.384318495,NA,351851,NA,125999.7,105000,NA,192727,197777,NA,229611.738678348,185710,NA,139775.123323353,136700,NA,126666,179444,272500,122143,174676.898616342,NA,214053.985472528,253470,245833,NA,NA,NA,183414,NA,NA,NA,90000,NA,238220,NA,NA,,141350,199908.703722024,NA,NA,NA,NA,227917.148169511,NA
33178,192020,226126,NA,117999.1,NA,NA,NA,NA,96052.0263157895,NA,88124.1875,87999,NA,NA,NA,202716.814957072,NA,330000,NA,148332.916666667,106363,NA,209091,189090,NA,227481.407659293,207890,NA,141311.390713432,135500,NA,133596,176980,281249,119705,172781.846370277,NA,223154.358370136,257450,247916,NA,NA,NA,178153,NA,NA,NA,87999.2,NA,231760,NA,NA,,143282,209053.110883083,NA,NA,NA,NA,229791.481709557,NA
33208,190375,218161,NA,125333.066666667,NA,NA,NA,NA,87682.1585365854,NA,90555.5,84259,NA,NA,NA,212855.455028654,NA,325000,NA,131999.4,92500,NA,200000,185000,NA,228531.584184006,184000,NA,139513.1318344,130000,NA,127787,181470,272777,109374,194089.506008979,NA,228503.256852802,254720,239062,NA,NA,NA,174615,NA,NA,NA,72856.8571428571,NA,234910,NA,NA,,136050,200146.627978397,NA,NA,NA,NA,222261.161339507,NA
33239,192054,216532,NA,118332.416666667,NA,NA,NA,NA,97856.3571428571,NA,96666,87999,NA,NA,NA,197706.413752937,NA,313461,NA,129999.5,95833,NA,209615,168333,NA,226792.844847059,180000,NA,137570.791431667,130700,NA,131428,182000,270161,108461,206321.05680734,328889,213881.332781714,247250,NA,NA,NA,NA,178461,NA,NA,NA,84444,NA,225000,NA,NA,,141270,189214.336437801,NA,NA,NA,NA,225891.877478323,NA
33270,194806,222896,NA,121333.266666667,NA,NA,NA,NA,96666,NA,89499.05,88333,NA,NA,NA,199157.20499689,NA,312500,NA,133332.666666667,108749,NA,222500,170000,NA,226397.882272617,172730,NA,134639.465880503,131000,NA,130000,178888,270714,110000,203524.95205401,285256,219147.957676587,243870,253750,NA,NA,NA,182857,NA,NA,NA,103181.659090909,NA,228030,NA,NA,,138990,205010.325186668,NA,NA,NA,NA,226188.38245559,NA
33298,202666,221768,NA,122999.85,NA,NA,NA,NA,91363.5,NA,96874.3125,85370,NA,NA,NA,207939.683633358,NA,350000,NA,146666.333333333,102500,NA,193333,165555,NA,234876.577623442,170910,NA,137606.563526555,137000,NA,134416,183111,268055,112083,190807.965393188,317910,248073.483506498,248560,244230,NA,NA,NA,183469,NA,NA,NA,91666.5,NA,223080,NA,NA,,144551,214681.411828796,NA,NA,NA,NA,229262.08471551,NA
33329,207718,233192,NA,118749.0625,NA,NA,NA,NA,92499.75,NA,105454.272727273,89614,NA,NA,NA,213442.452561757,NA,341666,NA,NA,109166,NA,235000,185000,NA,235077.552639034,180000,NA,134523.761456649,140000,NA,133377,183114,279941,120417,196248.376188991,319101,276408.629199851,262460,242499,NA,NA,NA,179195,NA,NA,NA,95384.0769230769,NA,230730,NA,NA,,150138,221656.074837852,NA,NA,NA,NA,231764.150004436,NA
33359,211001,239885,NA,127894.342105263,NA,NA,NA,NA,98938.5,NA,105833.041666667,89832,NA,NA,NA,218891.850427516,NA,346938,NA,136665.833333333,100000,NA,222580,181000,NA,240531.917849255,171050,NA,139903.169704926,139000,NA,134810,188732,280319,120000,197628.028979848,333474,225076.481076682,268780,246527,NA,NA,NA,184038,NA,NA,NA,92307.4615384615,NA,227360,NA,NA,,147136,221727.171443956,NA,NA,NA,NA,244493.748310273,NA
33390,206722,229129,NA,120714.25,NA,NA,NA,NA,97023.1071428571,NA,102499.875,91136,NA,NA,NA,224055.042846925,NA,367021,NA,134999.25,103750,NA,189230,186666,NA,237572.948018516,187270,NA,141512.119048642,136800,NA,132513,188509,291666,120000,225433.00728397,338938,252992.988445116,277450,261538,NA,NA,NA,191607,NA,NA,NA,90909,NA,241180,NA,NA,,145752,222285.332282886,NA,NA,NA,NA,242687.189555285,NA
33420,206069,234042,NA,113570.75,NA,NA,NA,NA,100232.546511628,NA,110832.791666667,94594,NA,NA,NA,230028.038934692,NA,347272,NA,141999.9,104545,NA,227778,187272,NA,237555.392646806,182220,NA,145494.788459089,140000,NA,140294,190000,294339,123500,192916.427423265,334183,241405.001727331,268200,250000,NA,NA,NA,191304,NA,NA,NA,93571.0714285714,NA,229230,NA,NA,,145670,226712.168808129,NA,NA,NA,NA,242132.226155379,NA
33451,200340,231551,NA,120499.975,NA,NA,NA,NA,98408.25,NA,103749.8125,95000,NA,NA,NA,220857.524422611,NA,350000,NA,144285.5,112857,NA,216071,185384,NA,236436.792270922,182140,NA,147167.09504785,139900,NA,132409,198522,286499,115999,208609.102144528,356185,223946.74692871,267250,253409,NA,NA,NA,195384,NA,NA,NA,90000,NA,235380,NA,NA,,147180,216189.454586808,NA,NA,NA,NA,234387.655878307,NA
33482,197801,224811,NA,117856.25,NA,NA,NA,NA,98973.4615384615,NA,93333,94714,NA,NA,NA,231449.069917021,NA,347368,NA,140000,101428,NA,181667,210000,NA,235668.04322756,171670,NA,150449.45144061,135000,NA,135063,181046,278921,125000,192589.342963703,327118,185123.642483426,251220,256731,NA,NA,NA,196666,NA,NA,NA,100000,NA,236140,NA,NA,,146590,208124.514245449,NA,NA,NA,NA,234009.275026376,NA
